Season,Team,AdjTempo,RankAdjTempo,AdjOE,RankAdjOE,AdjDE,RankAdjDE,AdjEM,RankAdjEM,seed,Class,R64,R32,S16,E8,FF,CG,C
2015,Manhattan,67.2455,36,101.932,215,101.19,119,0.742583,155,16,DNQ,NO,NO,NO,NO,NO,NO,NO
2015,North Florida,66.7256,54,108.032,88,105.12,193,2.91181,137,16,DNQ,NO,NO,NO,NO,NO,NO,NO
2015,Coastal Carolina,63.6717,192,105.424,136,103.803,169,1.6211,147,16,R64,YES,NO,NO,NO,NO,NO,NO
2015,Hampton,68.6346,18,96.0398,304,104.551,180,-8.51136,270,16,R64,YES,NO,NO,NO,NO,NO,NO
2015,Lafayette,64.3104,153,112.691,41,114.45,335,-1.75874,188,16,R64,YES,NO,NO,NO,NO,NO,NO
2015,Robert Morris,65.0415,123,102.327,205,103.869,171,-1.54229,183,16,R64,YES,NO,NO,NO,NO,NO,NO
2015,Belmont,66.5706,57,109.115,70,107.619,245,1.49515,149,15,R64,YES,NO,NO,NO,NO,NO,NO
2015,New Mexico St.,62.9742,238,106.825,113,99.8197,101,7.0055,94,15,R64,YES,NO,NO,NO,NO,NO,NO
2015,North Dakota St.,60.2617,326,102.68,194,102.079,140,0.601364,157,15,R64,YES,NO,NO,NO,NO,NO,NO
2015,Texas Southern,62.9114,242,103.049,182,106.918,227,-3.8688,214,15,R64,YES,NO,NO,NO,NO,NO,NO
2015,Georgia St.,62.5745,259,110.463,61,100.687,112,9.77537,73,14,R32,YES,YES,NO,NO,NO,NO,NO
2015,UAB,64.4025,150,104.585,156,101.758,134,2.82779,138,14,R32,YES,YES,NO,NO,NO,NO,NO
2015,Albany,60.7359,318,106.463,116,103.431,161,3.03231,134,14,R64,YES,NO,NO,NO,NO,NO,NO
2015,Northeastern,63.0556,233,107.892,90,103.071,156,4.82045,119,14,R64,YES,NO,NO,NO,NO,NO,NO
2015,Eastern Washington,67.9604,25,112.165,46,109.197,281,2.96737,135,13,R64,YES,NO,NO,NO,NO,NO,NO
2015,Harvard,61.137,309,103.686,173,94.9442,36,8.74154,80,13,R64,YES,NO,NO,NO,NO,NO,NO
2015,UC Irvine,63.3775,210,105.818,127,98.9592,88,6.85898,96,13,R64,YES,NO,NO,NO,NO,NO,NO
2015,Valparaiso,62.1996,270,106.629,114,95.6594,50,10.9697,64,13,R64,YES,NO,NO,NO,NO,NO,NO
