Season,Team,AdjTempo,RankAdjTempo,AdjOE,RankAdjOE,AdjDE,RankAdjDE,AdjEM,RankAdjEM,seed,Class,R64,R32,S16,E8,FF,CG,C
2010,Arkansas Pine Bluff,64.9785,201,91.8221,307,99.7369,122,-7.91476,244,16,R64,YES,NO,NO,NO,NO,NO,NO
2010,East Tennessee St.,66.1025,145,100.3,199,97.8928,90,2.40771,148,16,R64,YES,NO,NO,NO,NO,NO,NO
2010,Lehigh,68.4313,51,104.907,140,106.362,252,-1.45422,191,16,R64,YES,NO,NO,NO,NO,NO,NO
2010,Vermont,65.8979,157,103.697,150,100.573,135,3.12414,138,16,R64,YES,NO,NO,NO,NO,NO,NO
2010,Winthrop,63.9135,245,90.8904,318,95.0021,57,-4.11173,214,16,DNQ,NO,NO,NO,NO,NO,NO,NO
2010,Morgan St.,68.151,59,105.657,127,103.75,202,1.90682,151,15,R64,YES,NO,NO,NO,NO,NO,NO
2010,North Texas,67.1128,94,102.939,162,103.298,194,-0.35881,178,15,R64,YES,NO,NO,NO,NO,NO,NO
2010,Robert Morris,65.7182,165,99.6218,214,101.452,154,-1.83054,194,15,R64,YES,NO,NO,NO,NO,NO,NO
2010,UC Santa Barbara,66.0756,147,100.038,203,97.6604,86,2.37748,149,15,R64,YES,NO,NO,NO,NO,NO,NO
2010,Montana,61.6822,307,106.707,104,98.1992,95,8.50753,91,14,R64,YES,NO,NO,NO,NO,NO,NO
2010,Oakland,68.5659,46,107.635,90,103.917,209,3.71824,133,14,R64,YES,NO,NO,NO,NO,NO,NO
2010,Ohio,68.1933,57,105.808,122,98.4546,97,7.35379,100,14,R32,YES,YES,NO,NO,NO,NO,NO
2010,Sam Houston St.,68.6965,40,110.763,47,103.694,200,7.06873,101,14,R64,YES,NO,NO,NO,NO,NO,NO
2010,Houston,70.8516,14,111.84,41,102.537,174,9.30246,84,13,R64,YES,NO,NO,NO,NO,NO,NO
