Season,Team,AdjTempo,RankAdjTempo,AdjOE,RankAdjOE,AdjDE,RankAdjDE,AdjEM,RankAdjEM,seed,Class,R64,R32,S16,E8,FF,CG,C
2004,Liberty,67.5344,115,97.9283,249,100.635,122,-2.70715,182,16,R64,YES,NO,NO,NO,NO,NO,NO
2004,Lehigh,63.7282,256,98.2109,242,103.992,183,-5.7816,224,16,DNQ,NO,NO,NO,NO,NO,NO,NO
2004,UTSA,68.8797,60,98.0201,247,105.56,211,-7.53956,248,16,R64,YES,NO,NO,NO,NO,NO,NO
2004,Florida A&M,71.1206,17,97.7465,252,108.479,273,-10.7325,267,16,R64,YES,NO,NO,NO,NO,NO,NO
2004,Alabama St.,61.5326,305,93.281,295,103.971,182,-10.6902,266,16,R64,YES,NO,NO,NO,NO,NO,NO
2004,Eastern Washington,64.715,213,105.382,108,101.954,150,3.42788,125,15,R64,YES,NO,NO,NO,NO,NO,NO
2004,Valparaiso,69.4589,49,100.308,205,99.4266,101,0.881225,146,15,R64,YES,NO,NO,NO,NO,NO,NO
2004,Vermont,64.3586,230,100.742,197,102.041,154,-1.29931,173,15,R64,YES,NO,NO,NO,NO,NO,NO
2004,Monmouth,66.2199,161,98.0355,246,101.598,142,-3.56253,189,15,R64,YES,NO,NO,NO,NO,NO,NO
2004,Louisiana Lafayette,69.6882,41,109.42,63,98.9893,93,10.4304,68,14,R64,YES,NO,NO,NO,NO,NO,NO
2004,Northern Iowa,65.2729,197,106.972,89,98.5408,82,8.4316,84,14,R64,YES,NO,NO,NO,NO,NO,NO
2004,UCF,62.721,287,103.633,145,97.8035,71,5.82918,98,14,R64,YES,NO,NO,NO,NO,NO,NO
2004,Princeton,56.7748,323,106.042,101,100.548,120,5.49455,102,14,R64,YES,NO,NO,NO,NO,NO,NO
2004,UTEP,68.6573,69,111.176,43,96.667,54,14.5091,43,13,R64,YES,NO,NO,NO,NO,NO,NO
2004,Illinois Chicago,64.6261,217,107.751,78,96.8741,57,10.8768,62,13,R64,YES,NO,NO,NO,NO,NO,NO
2004,VCU,64.642,216,104.824,116,96.0897,49,8.73412,81,13,R64,YES,NO,NO,NO,NO,NO,NO
2004,East Tennessee St.,73.587,3,103.458,148,95.3316,37,8.12644,85,13,R64,YES,NO,NO,NO,NO,NO,NO
2004,BYU,66.4998,149,111.734,40,95.3868,39,16.3472,32,12,R64,YES,NO,NO,NO,NO,NO,NO
2004,Manhattan,65.3023,196,107.701,80,96.0844,48,11.6168,55,12,R32,YES,YES,NO,NO,NO,NO,NO
2004,Murray St.,69.3823,52,110.548,53,98.9077,91,11.6398,54,12,R64,YES,NO,NO,NO,NO,NO,NO
2004,Pacific,63.9397,247,108.144,75,99.4025,100,8.74172,80,12,R32,YES,YES,NO,NO,NO,NO,NO
2004,Western Michigan,65.955,173,114.773,16,97.3126,65,17.4602,28,11,R64,YES,NO,NO,NO,NO,NO,NO
2004,Air Force,52.0301,326,111.859,36,95.7219,43,16.1376,33,11,R64,YES,NO,NO,NO,NO,NO,NO
2004,Richmond,62.8739,282,104.896,115,89.8371,7,15.0585,38,11,R64,YES,NO,NO,NO,NO,NO,NO
2004,Utah,59.267,317,110.026,62,95.1873,36,14.839,40,11,R64,YES,NO,NO,NO,NO,NO,NO
2004,Louisville,67.6995,106,106.419,94,84.7716,1,21.6473,16,10,R64,YES,NO,NO,NO,NO,NO,NO
2004,Nevada,68.5767,73,111.833,37,93.0023,20,18.8308,22,10,S16,YES,YES,YES,NO,NO,NO,NO
2004,South Carolina,66.1339,169,110.845,46,94.2486,31,16.596,30,10,R64,YES,NO,NO,NO,NO,NO,NO
