Season,Team,AdjTempo,RankAdjTempo,AdjOE,RankAdjOE,AdjDE,RankAdjDE,AdjEM,RankAdjEM,seed,Class,R64,R32,S16,E8,FF,CG,C
2013,Southern,62.7873,222,99.0012,233,99.294,111,-0.29274,172,16,R64,YES,NO,NO,NO,NO,NO,NO
2013,Western Kentucky,63.8433,176,101.798,185,102.763,174,-0.9659,180,16,R64,YES,NO,NO,NO,NO,NO,NO
2013,LIU Brooklyn,66.723,54,111.069,42,112.442,326,-1.37364,187,16,DNQ,NO,NO,NO,NO,NO,NO,NO
2013,James Madison,62.5026,233,99.5556,225,101.23,143,-1.67462,191,16,R64,YES,NO,NO,NO,NO,NO,NO
2013,North Carolina A&T,64.8071,130,92.5828,315,97.9108,90,-5.32804,228,16,R64,YES,NO,NO,NO,NO,NO,NO
2013,Liberty,63.8178,177,100.529,206,110.044,306,-9.51521,267,16,DNQ,NO,NO,NO,NO,NO,NO,NO
2013,Iona,68.6813,13,114.644,14,106.791,256,7.85234,91,15,R64,YES,NO,NO,NO,NO,NO,NO
2013,Pacific,61.5719,273,106.871,99,101.331,149,5.53976,111,15,R64,YES,NO,NO,NO,NO,NO,NO
2013,Florida Gulf Coast,66.6594,55,103.304,152,99.9512,125,3.35293,129,15,S16,YES,YES,YES,NO,NO,NO,NO
2013,Albany,61.1481,282,102.346,173,101.191,142,1.15535,150,15,R64,YES,NO,NO,NO,NO,NO,NO
2013,Valparaiso,63.7461,181,111.066,43,99.147,107,11.9193,61,14,R64,YES,NO,NO,NO,NO,NO,NO
2013,Davidson,63.2755,198,112.441,32,101.27,147,11.1711,66,14,R64,YES,NO,NO,NO,NO,NO,NO
2013,Harvard,62.4831,235,108.139,73,101.233,144,6.90592,98,14,R32,YES,YES,NO,NO,NO,NO,NO
2013,Northwestern St.,71.4118,1,106.886,98,103.699,196,3.18756,133,14,R64,YES,NO,NO,NO,NO,NO,NO
2013,Boise St.,64.2697,151,113.2,25,98.0999,94,15.1001,45,13,DNQ,NO,NO,NO,NO,NO,NO,NO
2013,La Salle,64.3651,147,110.546,46,97.2446,83,13.3018,57,13,S16,YES,YES,YES,NO,NO,NO,NO
2013,New Mexico St.,63.1987,200,105.566,122,96.7219,74,8.84441,81,13,R64,YES,NO,NO,NO,NO,NO,NO
2013,South Dakota St.,61.9938,255,112.586,30,105.42,235,7.16609,95,13,R64,YES,NO,NO,NO,NO,NO,NO
2013,Montana,61.796,267,105.569,121,102.857,177,2.71159,138,13,R64,YES,NO,NO,NO,NO,NO,NO
2013,Mississippi,68.7636,12,112.338,34,95.8159,64,16.5223,35,12,R32,YES,YES,NO,NO,NO,NO,NO
2013,Oregon,67.0931,41,105.529,124,90.6673,15,14.8613,46,12,S16,YES,YES,YES,NO,NO,NO,NO
2013,Akron,64.6243,132,107.801,78,94.0583,37,13.7427,52,12,R64,YES,NO,NO,NO,NO,NO,NO
2013,California,63.887,172,107.434,87,94.7044,44,12.7298,59,12,R32,YES,YES,NO,NO,NO,NO,NO
2013,Minnesota,61.1328,283,113.792,21,94.6477,42,19.1442,23,11,R32,YES,YES,NO,NO,NO,NO,NO
2013,Saint Mary's,62.7285,223,116.686,10,97.7603,87,18.9259,24,11,R64,YES,NO,NO,NO,NO,NO,NO
2013,Belmont,65.3017,106,111.598,35,95.8476,65,15.7507,39,11,R64,YES,NO,NO,NO,NO,NO,NO
2013,Middle Tennessee,62.9037,215,107.517,83,91.9796,22,15.5372,41,11,DNQ,NO,NO,NO,NO,NO,NO,NO
2013,Bucknell,60.9891,287,107.882,76,94.4384,41,13.4434,55,11,R64,YES,NO,NO,NO,NO,NO,NO
2013,Iowa St.,67.5365,31,116.863,8,100.569,133,16.2941,36,10,R32,YES,YES,NO,NO,NO,NO,NO
2013,Cincinnati,62.2632,244,105.794,116,90.2087,13,15.5856,40,10,R64,YES,NO,NO,NO,NO,NO,NO
2013,Colorado,63.0028,211,107.269,91,92.4737,26,14.7956,49,10,R64,YES,NO,NO,NO,NO,NO,NO
2013,Oklahoma,64.6503,131,111.409,39,97.0916,78,14.3172,50,10,R64,YES,NO,NO,NO,NO,NO,NO
2013,Missouri,65.5079,94,115.006,13,95.7839,61,19.2225,22,9,R64,YES,NO,NO,NO,NO,NO,NO
2013,Wichita St.,62.4159,238,109.966,53,92.5764,28,17.3895,30,9,FF,YES,YES,YES,YES,YES,NO,NO
2013,Villanova,65.6855,87,106.057,112,92.4411,25,13.6158,54,9,R64,YES,NO,NO,NO,NO,NO,NO
2013,Temple,65.1334,119,111.464,37,99.5026,116,11.9609,60,9,R32,YES,YES,NO,NO,NO,NO,NO
2013,Pittsburgh,58.1464,338,116.301,11,91.1994,17,25.1014,8,8,R64,YES,NO,NO,NO,NO,NO,NO
2013,Colorado St.,62.9945,212,118.136,7,97.9562,92,20.1795,19,8,R32,YES,YES,NO,NO,NO,NO,NO
