KenPomName,TeamRankingsName,TeamID
Saint Peter's,St Peters ,249
Sam Houston St.,Sam Hous St ,250
Samford,Samford ,251
San Diego,San Diego ,252
San Diego St.,San Diego St ,253
San Francisco,San Fransco ,254
San Jose St.,San Jose St ,255
Santa Clara,Santa Clara ,256
Savannah St.,Savannah St ,257
Seattle,Seattle ,258
Seton Hall,Seton Hall ,259
Siena,Siena ,260
SIU Edwardsville,SIU Edward ,261
SMU,S Methodist ,262
South Alabama,S Alabama ,263
South Carolina,S Carolina ,264
South Carolina St.,S Car State ,265
South Dakota,South Dakota ,266
South Dakota St.,S Dakota St ,267
South Florida,S Florida ,268
Southeast Missouri St.,SE Missouri ,269
Southeastern Louisiana,SE Louisiana ,270
Southern,Southern ,271
Southern Illinois,S Illinois ,272
Southern Miss,S Mississippi ,273
Southern Utah,S Utah ,274
St. Bonaventure,St Bonavent ,275
St. Francis NY,St Fran (NY) ,276
St. Francis PA,St Fran (PA) ,277
St. John's,St Johns ,278
Stanford,Stanford ,279
Stephen F. Austin,Ste F Austin ,280
Stetson,Stetson ,281
Stony Brook,Stony Brook ,282
Syracuse,Syracuse ,283
TCU,TX Christian ,284
Temple,Temple ,285
Tennessee,Tennessee ,286
Tennessee Martin,TN Martin ,287
Tennessee St.,TN State ,288
Tennessee Tech,TN Tech ,289
Texas,Texas ,290
Texas A&M,Texas A&M ,291
Texas A&M Corpus Chris,TX A&M-CC ,292
Texas Southern,TX Southern ,293
Texas St.,Texas State ,294
Texas Tech,Texas Tech ,295
Toledo,Toledo ,296
Towson,Towson ,297
Troy,Troy ,298
Tulane,Tulane ,299
Tulsa,Tulsa ,300
UAB,UAB ,301
UC Davis,UC Davis ,302
UC Irvine,UC Irvine ,303
UC Riverside,UC Riverside ,304
UC Santa Barbara,UCSB ,305
UCF,Central FL ,306
UCLA,UCLA ,307
UMass Lowell,Mass Lowell ,308
UMBC,Maryland BC ,309
UMKC,UMKC ,310
UNC Asheville,NC-Asheville ,311
UNC Greensboro,NC-Grnsboro ,312
UNC Wilmington,NC-Wilmgton ,313
UNLV,UNLV ,314
USC,USC ,315
USC Upstate,SC Upstate ,316
UT Arlington,TX-Arlington ,317
UT Rio Grande Valley,TX-Pan Am ,318
Utah,Utah ,319
Utah St.,Utah State ,320
Utah Valley,Utah Val St ,321
UTEP,TX El Paso ,322
UTSA,TX-San Ant ,323
Valparaiso,Valparaiso ,324
Vanderbilt,Vanderbilt ,325
VCU,VCU ,326
Vermont,Vermont ,327
Villanova,Villanova ,328
Virginia,Virginia ,329
Virginia Tech,VA Tech ,330
VMI,VA Military ,331
Wagner,Wagner ,332
Wake Forest,Wake Forest ,333
Washington,Washington ,334
Washington St.,Wash State ,335
Weber St.,Weber State ,336
West Virginia,W Virginia ,337
Western Carolina,W Carolina ,338
Western Illinois,W Illinois ,339
Western Kentucky,W Kentucky ,340
Western Michigan,W Michigan ,341
Wichita St.,Wichita St ,342
William & Mary,Wm & Mary ,343
Winthrop,Winthrop ,344
Wisconsin,Wisconsin ,345
Wofford,Wofford ,346
Wright St.,Wright State ,347
Wyoming,Wyoming ,348
Xavier,Xavier ,349
Yale,Yale ,350
Youngstown St.,Youngs St ,351
