Season,Team,AdjTempo,RankAdjTempo,AdjOE,RankAdjOE,AdjDE,RankAdjDE,AdjEM,RankAdjEM,seed,Class,R64,R32,S16,E8,FF,CG,C
2005,Milwaukee,68.9088,60,108.035,74,95.0665,36,12.9683,47,12,S16,YES,YES,YES,NO,NO,NO,NO
2005,North Carolina St.,62.7547,294,116.383,14,97.3737,65,19.009,23,10,S16,YES,YES,YES,NO,NO,NO,NO
2005,Texas Tech,69.462,49,110.917,50,95.271,39,15.6457,33,6,S16,YES,YES,YES,NO,NO,NO,NO
2005,Utah,59.0106,324,113.641,26,93.4851,22,20.1555,22,6,S16,YES,YES,YES,NO,NO,NO,NO
2005,Villanova,67.2118,119,115.814,17,92.0012,12,23.8126,11,5,S16,YES,YES,YES,NO,NO,NO,NO
2005,Oklahoma St.,66.4584,150,120.257,4,94.5142,32,25.7432,5,2,S16,YES,YES,YES,NO,NO,NO,NO
2005,Duke,68.6081,74,117.435,10,88.7397,3,28.6957,3,1,S16,YES,YES,YES,NO,NO,NO,NO
2005,Washington,71.8909,14,119.924,6,97.2424,62,22.6814,14,1,S16,YES,YES,YES,NO,NO,NO,NO
2005,Delaware St.,59.5674,322,102.377,170,107.716,259,-5.33826,213,16,R64,YES,NO,NO,NO,NO,NO,NO
2005,Fairleigh Dickinson,68.6839,73,102.717,163,105.796,229,-3.07905,195,16,R64,YES,NO,NO,NO,NO,NO,NO
2005,Montana,68.1769,89,99.6469,219,102.655,163,-3.00797,193,16,R64,YES,NO,NO,NO,NO,NO,NO
2005,Oakland,65.4975,199,107.721,80,108.701,277,-0.980674,175,16,R64,YES,NO,NO,NO,NO,NO,NO
2005,Chattanooga,67.6872,107,99.1811,224,99.6517,99,-0.470586,170,15,R64,YES,NO,NO,NO,NO,NO,NO
2005,Eastern Kentucky,66.0513,170,102.465,168,101.106,131,1.35916,149,15,R64,YES,NO,NO,NO,NO,NO,NO
2005,Southeastern Louisiana,60.1166,317,97.2565,249,94.1034,27,3.15302,134,15,R64,YES,NO,NO,NO,NO,NO,NO
2005,UCF,59.9809,318,104.404,135,107.744,261,-3.33956,199,15,R64,YES,NO,NO,NO,NO,NO,NO
2005,Niagara,69.6709,44,115.968,16,110.486,298,5.48207,105,14,R64,YES,NO,NO,NO,NO,NO,NO
2005,Utah St.,61.3897,309,116.735,12,96.4473,54,20.2874,20,14,R64,YES,NO,NO,NO,NO,NO,NO
2005,Winthrop,62.9522,289,101.652,185,96.6464,55,5.00565,112,14,R64,YES,NO,NO,NO,NO,NO,NO
2005,Louisiana Lafayette,67.7535,106,107.206,89,97.5553,68,9.65038,78,13,R64,YES,NO,NO,NO,NO,NO,NO
2005,Ohio,65.7035,188,109.952,57,101.921,152,8.03021,86,13,R64,YES,NO,NO,NO,NO,NO,NO
2005,Penn,67.7962,101,102.365,171,92.16,15,10.2052,72,13,R64,YES,NO,NO,NO,NO,NO,NO
2005,George Washington,70.7679,25,110.008,55,95.3032,40,14.7044,36,12,R64,YES,NO,NO,NO,NO,NO,NO
2005,New Mexico,65.5042,198,114.069,24,98.4124,79,15.6566,32,12,R64,YES,NO,NO,NO,NO,NO,NO
2005,Old Dominion,65.9978,172,104.244,138,94.2423,29,10.002,75,12,R64,YES,NO,NO,NO,NO,NO,NO
