Season,Team,AdjTempo,RankAdjTempo,AdjOE,RankAdjOE,AdjDE,RankAdjDE,AdjEM,RankAdjEM,seed,Class,R64,R32,S16,E8,FF,CG,C
2007,Air Force,56.6656,332,116.286,18,97.0562,49,19.2294,24,0,DNQ,NO,NO,NO,NO,NO,NO,NO
2007,Akron,63.318,246,115.109,28,98.9272,75,16.1815,42,0,DNQ,NO,NO,NO,NO,NO,NO,NO
2007,Alabama,64.8798,182,113.992,34,101.517,113,12.475,66,0,DNQ,NO,NO,NO,NO,NO,NO,NO
2007,Alabama A&M,70.3008,26,83.7228,334,106.723,212,-23.0002,331,0,DNQ,NO,NO,NO,NO,NO,NO,NO
2007,Alabama St.,63.4575,239,90.8625,321,108.751,248,-17.8883,317,0,DNQ,NO,NO,NO,NO,NO,NO,NO
2007,Albany,63.5137,236,107.402,113,103.976,156,3.42522,129,13,R64,YES,NO,NO,NO,NO,NO,NO
2007,Alcorn St.,68.8881,47,91.7945,318,113.288,318,-21.4935,327,0,DNQ,NO,NO,NO,NO,NO,NO,NO
2007,American,63.6383,232,100.126,228,101.533,114,-1.40726,166,0,DNQ,NO,NO,NO,NO,NO,NO,NO
2007,Appalachian St.,66.0269,130,111.789,62,101.074,105,10.715,75,0,DNQ,NO,NO,NO,NO,NO,NO,NO
2007,Arizona,67.8259,70,119.512,5,100.303,94,19.2093,25,8,R64,YES,NO,NO,NO,NO,NO,NO
2007,Arizona St.,57.9763,330,100.703,223,99.474,80,1.22939,147,0,DNQ,NO,NO,NO,NO,NO,NO,NO
2007,Arkansas,65.8864,138,110.253,78,93.3649,21,16.8885,39,12,R64,YES,NO,NO,NO,NO,NO,NO
2007,Arkansas Little Rock,62.5149,277,100.097,229,109.938,273,-9.8414,259,0,DNQ,NO,NO,NO,NO,NO,NO,NO
2007,Arkansas Pine Bluff,63.5683,234,88.5846,327,104.144,158,-15.5598,301,0,DNQ,NO,NO,NO,NO,NO,NO,NO
2007,Arkansas St.,67.063,94,103.551,177,108.644,246,-5.09291,206,0,DNQ,NO,NO,NO,NO,NO,NO,NO
2007,Army,62.5301,276,92.5875,315,102.366,130,-9.77828,258,0,DNQ,NO,NO,NO,NO,NO,NO,NO
2007,Auburn,69.8206,32,106.515,132,98.5497,72,7.96552,92,0,DNQ,NO,NO,NO,NO,NO,NO,NO
2007,Austin Peay,65.3013,164,105.752,144,106.704,211,-0.951666,162,0,DNQ,NO,NO,NO,NO,NO,NO,NO
2007,Ball St.,62.626,272,96.2137,282,101.217,109,-5.00379,204,0,DNQ,NO,NO,NO,NO,NO,NO,NO
2007,Baylor,66.4918,113,111.033,68,104.677,168,6.35606,104,0,DNQ,NO,NO,NO,NO,NO,NO,NO
2007,Belmont,65.4936,158,106.429,135,101.758,122,4.67153,120,15,R64,YES,NO,NO,NO,NO,NO,NO
2007,Bethune Cookman,59.4019,323,82.8608,335,107.589,227,-24.7285,333,0,DNQ,NO,NO,NO,NO,NO,NO,NO
2007,Binghamton,66.2645,123,98.5434,253,105.044,175,-6.5002,221,0,DNQ,NO,NO,NO,NO,NO,NO,NO
