Season,Team,AdjTempo,RankAdjTempo,AdjOE,RankAdjOE,AdjDE,RankAdjDE,AdjEM,RankAdjEM,seed,Class,R64,R32,S16,E8,FF,CG,C
2011,Richmond,63.1619,288,111.003,47,95.4298,51,15.5729,39,12,S16,YES,YES,YES,NO,NO,NO,NO
2011,Marquette,66.7571,113,115.623,16,97.4927,74,18.1301,28,11,S16,YES,YES,YES,NO,NO,NO,NO
2011,Florida St.,67.5152,73,103.157,162,88.1874,2,14.9701,45,10,S16,YES,YES,YES,NO,NO,NO,NO
2011,Wisconsin,56.891,344,121.946,2,96.348,58,25.5977,8,4,S16,YES,YES,YES,NO,NO,NO,NO
2011,BYU,70.3423,20,117.73,8,94.2638,38,23.4657,11,3,S16,YES,YES,YES,NO,NO,NO,NO
2011,San Diego St.,62.8786,298,113.834,26,88.2242,3,25.6096,7,2,S16,YES,YES,YES,NO,NO,NO,NO
2011,Duke,69.1256,38,118.637,6,89.0891,5,29.5475,2,1,S16,YES,YES,YES,NO,NO,NO,NO
2011,Ohio St.,64.4098,241,123.643,1,91.4115,14,32.232,1,1,S16,YES,YES,YES,NO,NO,NO,NO
2011,Boston University,63.0646,291,102.907,166,103.292,186,-0.38517,170,16,R64,YES,NO,NO,NO,NO,NO,NO
2011,Hampton,66.566,122,93.9345,299,97.7279,76,-3.79341,203,16,R64,YES,NO,NO,NO,NO,NO,NO
2011,UNC Asheville,67.7991,66,101.432,194,99.0391,97,2.393,144,16,R64,YES,NO,NO,NO,NO,NO,NO
2011,UTSA,67.0401,94,101.474,193,106.668,257,-5.19344,227,16,R64,YES,NO,NO,NO,NO,NO,NO
2011,Akron,66.2222,147,103.29,161,99.533,106,3.75741,125,15,R64,YES,NO,NO,NO,NO,NO,NO
2011,LIU Brooklyn,73.2043,5,108.912,70,103.533,190,5.37973,107,15,R64,YES,NO,NO,NO,NO,NO,NO
2011,Northern Colorado,67.118,92,106.011,103,101.426,138,4.58447,116,15,R64,YES,NO,NO,NO,NO,NO,NO
2011,UC Santa Barbara,64.4276,240,103.503,154,99.4018,103,4.10161,121,15,R64,YES,NO,NO,NO,NO,NO,NO
2011,Bucknell,65.0026,217,105.356,114,97.7759,79,7.57974,85,14,R64,YES,NO,NO,NO,NO,NO,NO
2011,Indiana St.,65.4175,185,101.49,192,96.8677,63,4.62225,115,14,R64,YES,NO,NO,NO,NO,NO,NO
2011,Saint Peter's,64.6119,231,95.0018,292,91.7599,18,3.24183,129,14,R64,YES,NO,NO,NO,NO,NO,NO
2011,Wofford,63.4771,275,111.911,39,104.341,214,7.57016,86,14,R64,YES,NO,NO,NO,NO,NO,NO
2011,Belmont,68.7655,43,112.236,36,93.268,29,18.9677,23,13,R64,YES,NO,NO,NO,NO,NO,NO
2011,Oakland,71.6088,9,117.282,9,104.345,215,12.9371,58,13,R64,YES,NO,NO,NO,NO,NO,NO
2011,Princeton,63.3505,280,106.219,100,97.4016,71,8.81724,81,13,R64,YES,NO,NO,NO,NO,NO,NO
2011,Clemson,64.0185,255,107.856,84,90.4152,10,17.4409,29,12,R64,YES,NO,NO,NO,NO,NO,NO
2011,Memphis,67.8874,62,103.673,147,96.7112,62,6.96184,91,12,R64,YES,NO,NO,NO,NO,NO,NO
2011,Utah St.,62.8424,299,110.413,53,90.2135,8,20.1997,17,12,R64,YES,NO,NO,NO,NO,NO,NO
2011,Missouri,71.2086,13,112.932,31,96.3729,59,16.559,34,11,R64,YES,NO,NO,NO,NO,NO,NO
2011,Old Dominion,60.8228,330,109.126,67,94.8747,43,14.251,49,9,R64,YES,NO,NO,NO,NO,NO,NO
2011,Tennessee,66.3754,135,107.96,81,94.5968,41,13.3636,54,9,R64,YES,NO,NO,NO,NO,NO,NO
2011,Villanova,65.5804,175,114.746,22,96.4465,60,18.299,27,9,R64,YES,NO,NO,NO,NO,NO,NO
2011,UNLV,66.9325,100,110.321,55,91.5518,15,18.7696,25,8,R64,YES,NO,NO,NO,NO,NO,NO
2011,Texas A&M,61.4192,326,109.943,56,94.5593,40,15.3838,41,7,R64,YES,NO,NO,NO,NO,NO,NO
2011,Georgetown,63.7784,263,114.287,24,95.2916,48,18.9952,22,6,R64,YES,NO,NO,NO,NO,NO,NO
2011,St. John's,66.3588,138,110.496,52,93.6698,31,16.8263,33,6,R64,YES,NO,NO,NO,NO,NO,NO
2011,Xavier,64.8622,226,112.808,32,96.2683,57,16.5395,35,6,R64,YES,NO,NO,NO,NO,NO,NO
2011,Vanderbilt,66.882,104,115.206,17,97.7687,78,17.437,31,5,R64,YES,NO,NO,NO,NO,NO,NO
2011,Louisville,66.988,98,111.247,45,88.3769,4,22.87,12,4,R64,YES,NO,NO,NO,NO,NO,NO
2011,Morehead St.,63.8399,261,105.208,116,98.4152,86,6.79253,94,13,R32,YES,YES,NO,NO,NO,NO,NO
2011,Gonzaga,66.6571,118,110.61,51,94.1013,37,16.5087,36,11,R32,YES,YES,NO,NO,NO,NO,NO
2011,Illinois,65.2946,194,112.305,33,92.727,25,19.5782,20,9,R32,YES,YES,NO,NO,NO,NO,NO
2011,George Mason,65.0301,213,113.269,28,94.9599,44,18.3096,26,8,R32,YES,YES,NO,NO,NO,NO,NO
2011,Michigan,61.959,322,110.77,48,95.3533,49,15.4164,40,8,R32,YES,YES,NO,NO,NO,NO,NO
2011,Temple,64.7767,230,109.724,59,92.7362,26,16.988,32,7,R32,YES,YES,NO,NO,NO,NO,NO
2011,UCLA,65.5545,177,107.561,87,93.8189,34,13.7419,51,7,R32,YES,YES,NO,NO,NO,NO,NO
2011,Washington,70.7555,16,116.488,11,94.2736,39,22.2141,14,7,R32,YES,YES,NO,NO,NO,NO,NO
2011,Cincinnati,63.2667,283,109.822,58,90.218,9,19.6039,19,6,R32,YES,YES,NO,NO,NO,NO,NO
2011,Kansas St.,66.786,112,109.524,61,92.0845,20,17.4393,30,5,R32,YES,YES,NO,NO,NO,NO,NO
2011,West Virginia,62.7344,304,113.313,27,93.145,28,20.1684,18,5,R32,YES,YES,NO,NO,NO,NO,NO
