Season,Team,AdjTempo,RankAdjTempo,AdjOE,RankAdjOE,AdjDE,RankAdjDE,AdjEM,RankAdjEM,seed,offensive-rebounding-pct,total-rebounding-percentage,three-point-pct,opponent-shooting-pct,Class,R64,R32,S16,E8,FF,CG,
2017,UC Davis,68.4821,143,97.8508,292,102.603,126,-4.75235,218,16, 26.3,50.8,35.1,42.5,R64,YES,NO,NO,NO,NO,NO,
2017,UC Irvine,66.3524,257,100.956,236,99.0942,70,1.86172,138,0, 30.4,54.0,35.2,38.2,DNQ,NO,NO,NO,NO,NO,NO,
2017,UC Riverside,67.7495,197,92.1375,339,106.003,200,-13.8653,314,0, 23.4,47.9,31.6,42.9,DNQ,NO,NO,NO,NO,NO,NO,
2017,UCSB,64.0291,323,91.3316,343,109.475,271,-18.1434,331,0, 30.2,48.8,28.5,44.9,DNQ,NO,NO,NO,NO,NO,NO,
2017,Central FL,65.6061,281,103.857,183,92.8606,17,10.9965,67,0, 32.3,56.0,34.7,36.2,DNQ,NO,NO,NO,NO,NO,NO,
2017,UCLA,73.179,14,122.757,2,99.8057,78,22.9515,18,3, 28.0,52.7,40.5,41.9,S16,YES,YES,YES,NO,NO,NO,
2017,Mass Lowell,71.6722,30,104.246,174,115.64,337,-11.3943,292,0, 24.6,48.8,38.4,46.6,DNQ,NO,NO,NO,NO,NO,NO,
2017,Maryland BC,70.4524,60,108.369,101,110.592,291,-2.22302,194,0, 22.7,48.1,38.7,45.5,DNQ,NO,NO,NO,NO,NO,NO,
2017,UMKC,70.7659,51,102.436,214,107.827,234,-5.39126,223,0, 25.8,46.9,36.7,46.2,DNQ,NO,NO,NO,NO,NO,NO,
2017,NC-Asheville,68.0312,178,107.594,115,101.842,113,5.75249,102,0, 22.2,48.1,39.2,45.1,DNQ,NO,NO,NO,NO,NO,NO,
2017,NC-Grnsboro,66.4688,251,107.765,113,104.15,166,3.6142,120,0, 33.1,52.3,37.6,43.1,DNQ,NO,NO,NO,NO,NO,NO,
2017,NC-Wilmgton,70.0795,69,117.706,19,105.319,189,12.3867,60,12, 30.8,50.7,36.0,48.2,R64,YES,NO,NO,NO,NO,NO,
2017,UNLV,68.2244,166,98.1489,287,105.407,190,-7.25803,249,0, 27.0,49.9,32.0,45.1,DNQ,NO,NO,NO,NO,NO,NO,
2017,USC,68.8968,116,112.508,46,100.168,86,12.3407,61,11, 29.3,50.3,36.3,43.1,R32,YES,YES,NO,NO,NO,NO,
2017,SC Upstate,67.9882,181,105.281,155,111.214,301,-5.93309,228,0, 29.3,50.5,35.2,44.4,DNQ,NO,NO,NO,NO,NO,NO,
2017,TX-Arlington,69.9544,75,109.783,77,100.303,88,9.47958,76,0, 32.1,52.3,32.9,41.7,DNQ,NO,NO,NO,NO,NO,NO,
2017,TX-Pan Am,73.8828,7,100.314,248,113.24,320,-12.9257,304,0, 27.9,47.7,32.5,47.9,DNQ,NO,NO,NO,NO,NO,NO,
2017,Utah,68.461,146,114.195,36,99.4519,74,14.7432,47,0, 29.1,54.4,36.3,43.0,DNQ,NO,NO,NO,NO,NO,NO,
2017,Utah State,66.4613,252,106.776,128,104.565,172,2.21124,136,0, 22.5,50.3,38.0,42.8,DNQ,NO,NO,NO,NO,NO,NO,
2017,Utah Val St,73.337,12,100.154,251,101.699,106,-1.54502,190,0, 21.8,50.0,32.1,42.5,DNQ,NO,NO,NO,NO,NO,NO,
2017,TX El Paso,66.1778,264,99.7102,258,102.699,133,-2.98917,202,0, 21.0,49.8,34.3,42.6,DNQ,NO,NO,NO,NO,NO,NO,
2017,TX-San Ant,67.9584,184,95.0844,324,102.628,128,-7.54333,252,0, 30.7,52.4,26.7,43.4,DNQ,NO,NO,NO,NO,NO,NO,
2017,Valparaiso,66.8467,235,106.689,130,100.293,87,6.39547,97,0, 29.5,53.2,33.4,41.0,DNQ,NO,NO,NO,NO,NO,NO,
2017,Vanderbilt,65.5596,283,112.303,48,96.065,41,16.2376,34,9, 23.0,50.1,37.7,42.3,R64,YES,NO,NO,NO,NO,NO,
2017,VCU,68.1834,169,110.018,73,95.716,36,14.3025,52,10, 28.9,51.9,33.6,41.8,R64,YES,NO,NO,NO,NO,NO,
2017,Vermont,64.3336,313,110.832,61,98.9477,67,11.8847,63,13, 28.8,52.6,36.7,43.0,R64,YES,NO,NO,NO,NO,NO,
2017,Villanova,63.9872,324,122.753,3,91.9756,12,30.7772,2,1, 29.0,52.9,37.0,41.8,R32,YES,YES,NO,NO,NO,NO,
2017,Virginia,58.8864,351,113.686,38,87.0194,1,26.6671,7,5, 26.4,52.7,39.3,39.6,R32,YES,YES,NO,NO,NO,NO,
2017,VA Tech,68.2782,162,117.358,21,102.419,125,14.9395,44,9, 21.2,48.5,40.3,44.5,R64,YES,NO,NO,NO,NO,NO,
2017,VA Military,68.9581,112,97.6391,295,113.668,323,-16.0285,327,0, 24.9,46.0,32.0,49.3,DNQ,NO,NO,NO,NO,NO,NO,
2017,Wagner,62.7916,340,100.931,237,108.063,240,-7.13183,246,0, 37.9,54.5,32.5,41.5,DNQ,NO,NO,NO,NO,NO,NO,
2017,Wake Forest,70.4705,58,120.873,8,103.6,160,17.2722,30,11, 29.0,52.2,38.7,45.2,DNQ,NO,NO,NO,NO,NO,NO,
2017,Washington,70.9157,47,107.646,114,107.679,231,-0.0338739,168,0, 33.6,51.6,35.4,46.6,DNQ,NO,NO,NO,NO,NO,NO,
2017,Wash State,67.488,211,104.367,171,106.389,207,-2.02236,192,0, 17.8,46.9,36.6,46.2,DNQ,NO,NO,NO,NO,NO,NO,
2017,Weber State,66.449,253,108.278,104,109.015,259,-0.737074,181,0, 19.9,46.8,40.2,46.1,DNQ,NO,NO,NO,NO,NO,NO,
2017,W Virginia,69.8998,79,116.472,28,89.6731,5,26.7991,5,4, 36.9,51.8,36.1,42.4,S16,YES,YES,YES,NO,NO,NO,
2017,W Carolina,66.7371,239,90.1326,348,104.883,179,-14.7506,322,0, 29.4,49.7,30.4,45.5,DNQ,NO,NO,NO,NO,NO,NO,
2017,W Illinois,68.6927,127,97.0821,300,108.83,255,-11.7475,297,0, 17.0,46.7,38.7,44.8,DNQ,NO,NO,NO,NO,NO,NO,
2017,W Kentucky,65.7355,276,102.934,199,109.143,264,-6.20846,233,0, 26.2,50.3,35.3,45.2,DNQ,NO,NO,NO,NO,NO,NO,
2017,W Michigan,67.752,196,107.037,125,106.734,213,0.302711,162,0, 29.0,51.5,38.2,47.3,DNQ,NO,NO,NO,NO,NO,NO,
2017,Wichita St,68.6272,135,119.636,12,93.2236,19,26.4121,8,10, 32.0,55.8,40.7,37.9,R32,YES,YES,NO,NO,NO,NO,
2017,Wm & Mary,70.8447,49,112.007,51,109.639,274,2.36836,132,0, 23.3,50.4,37.8,44.9,DNQ,NO,NO,NO,NO,NO,NO,
2017,Winthrop,70.9519,44,106.436,136,101.809,111,4.62694,112,13, 25.1,50.2,38.0,40.8,R64,YES,NO,NO,NO,NO,NO,
2017,Wisconsin,63.2884,333,113.589,39,91.2963,8,22.2926,23,8, 33.7,54.6,35.5,40.6,S16,YES,YES,YES,NO,NO,NO,
2017,Wofford,66.6556,245,110.046,72,108.267,244,1.77939,139,0, 25.9,49.2,38.4,47.7,DNQ,NO,NO,NO,NO,NO,NO,
2017,Wright State,68.939,114,106.416,137,106.3,205,0.115156,166,0, 28.3,51.2,37.2,45.2,DNQ,NO,NO,NO,NO,NO,NO,
2017,Wyoming,73.4579,11,103.402,189,102.059,115,1.34305,146,0, 20.2,48.6,34.3,41.1,DNQ,NO,NO,NO,NO,NO,NO,
2017,Xavier,67.1917,219,114.744,33,99.4255,73,15.3189,40,11, 33.4,54.8,34.0,45.2,E8,YES,YES,YES,YES,NO,NO,
2017,Yale,68.0232,179,106.106,141,105.004,182,1.10166,151,0, 28.5,52.2,35.8,43.1,DNQ,NO,NO,NO,NO,NO,NO,
2017,Youngs St,71.6041,32,102.445,213,112.943,317,-10.4986,283,0, 23.2,47.1,32.7,46.8,DNQ,NO,NO,NO,NO,NO,NO,
